date,game_id,team,opponent,inning,count,player_1,player_2,player_3,player_4,player_5
2025/07/07,CHA202507070,TOR,CHA,5,2,Joey Loperfido,Nathan Lukes,,,
2025/07/11,CHA202507111,CLE,CHA,2,2,Daniel Schneemann,Angel Martinez,,,
2025/08/25,CHA202508250,CHA,KCA,4,2,Korey Lee,Brooks Baldwin,,,
2025/04/18,CHN202504180,CHN,ARI,8,2,Kyle Tucker,Seiya Suzuki,,,
2025/04/19,CHN202504190,CHN,ARI,2,2,Seiya Suzuki,Michael Busch,,,
2025/06/21,CHN202506210,CHN,SEA,1,2,Ian Happ,Kyle Tucker,,,
2025/07/02,CHN202507020,CLE,CHN,2,2,Carlos Santana,Lane Thomas,,,
2025/07/04,CHN202507040,CHN,SLN,1,2,Seiya Suzuki,Pete Crow-Armstrong,,,
2025/07/04,CHN202507040,CHN,SLN,2,2,Michael Busch,Carson Kelly,,,
2025/07/04,CHN202507040,CHN,SLN,7,2,Dansby Swanson,Michael Busch,,,
2025/07/19,CHN202507190,CHN,BOS,1,2,Michael Busch,Kyle Tucker,,,
2025/07/19,CHN202507190,CHN,BOS,8,2,Pete Crow-Armstrong,Ian Happ,,,
2025/09/14,CHN202509140,TBA,CHN,1,2,Yandy Diaz,Junior Caminero,,,
2025/03/30,CIN202503300,CIN,SFN,6,2,Austin Wynns,Matt McLain,,,
2025/04/17,CIN202504170,SEA,CIN,9,2,Cal Raleigh,Randy Arozarena,,,
2025/04/30,CIN202504301,SLN,CIN,9,3,Victor Scott II,Lars Nootbaar,Masyn Winn,,
2025/06/06,CIN202506060,ARI,CIN,3,2,Ketel Marte,Geraldo Perdomo,,,
2025/06/19,CIN202506190,MIN,CIN,2,2,Kody Clemens,Byron Buxton,,,
2025/09/01,CIN202509010,TOR,CIN,9,2,Bo Bichette,Daulton Varsho,,,
2025/09/03,CIN202509030,TOR,CIN,4,2,Daulton Varsho,Alejandro Kirk,,,
2025/09/19,CIN202509190,CIN,CHN,6,2,Spencer Steer,Elly De La Cruz,,,
2025/04/21,CLE202504210,CLE,NYA,3,2,Jose Ramirez,Kyle Manzardo,,,
2025/05/31,CLE202505310,ANA,CLE,3,2,Yoan Moncada,Taylor Ward,,,
2025/08/12,CLE202508120,CLE,MIA,1,2,Jose Ramirez,Kyle Manzardo,,,
2025/04/08,COL202504080,MIL,COL,7,2,Christian Yelich,William Contreras,,,
2025/05/21,COL202505210,PHI,COL,3,2,Trea Turner,Bryce Harper,,,
2025/08/03,COL202508030,COL,PIT,6,3,Mickey Moniak,Hunter Goodman,Jordan Beck,,
2025/08/05,COL202508050,TOR,COL,6,2,Vladimir Guerrero Jr.,Addison Barger,,,
2025/08/06,COL202508060,TOR,COL,9,2,Davis Schneider,Ernie Clement,,,
2025/08/17,COL202508170,ARI,COL,6,2,Corbin Carroll,Lourdes Gurriel Jr.,,,
2025/09/18,COL202509180,MIA,COL,3,2,Liam Hicks,Otto Lopez,,,
2025/04/08,DET202504080,DET,NYA,4,2,Zach McKinstry,Dillon Dingler,,,
2025/07/13,DET202507130,SEA,DET,9,2,Jorge Polanco,Cole Young,,,
2025/07/24,DET202507240,TOR,DET,6,2,Ernie Clement,Joey Loperfido,,,
2025/07/26,DET202507260,TOR,DET,9,2,George Springer,Vladimir Guerrero Jr.,,,
2025/08/08,DET202508080,ANA,DET,5,2,Gustavo Campero,Zach Neto,,,
2025/09/02,DET202509020,NYN,DET,7,2,Juan Soto,Pete Alonso,,,
2025/06/28,HOU202506280,CHN,HOU,4,2,Michael Busch,Nico Hoerner,,,
2025/07/09,HOU202507090,CLE,HOU,1,2,Angel Martinez,Jose Ramirez,,,
2025/08/28,HOU202508280,HOU,COL,1,2,Jose Altuve,Christian Walker,,,
2025/06/26,KCA202506260,TBA,KCA,6,2,Brandon Lowe,Junior Caminero,,,
2025/07/11,KCA202507110,NYN,KCA,9,2,Francisco Lindor,Juan Soto,,,
2025/09/20,KCA202509200,KCA,TOR,4,2,Bobby Witt Jr.,Vinnie Pasquantino,,,
2025/04/16,LAN202504160,COL,LAN,3,2,Michael Toglia,Mickey Moniak,,,
2025/04/27,LAN202504270,PIT,LAN,1,2,Andrew McCutchen,Enmanuel Valdez,,,
2025/05/13,LAN202505130,ATH,LAN,9,2,Miguel Andujar,JJ Bleday,,,
2025/05/19,LAN202505190,LAN,ARI,6,2,Shohei Ohtani,Mookie Betts,,,
2025/06/05,LAN202506050,NYN,LAN,3,2,Brandon Nimmo,Starling Marte,,,
2025/06/21,LAN202506210,WAS,LAN,4,2,James Wood,Luis Garcia Jr.,,,
2025/07/06,LAN202507060,HOU,LAN,8,2,Christian Walker,Yainer Diaz,,,
2025/08/05,LAN202508050,LAN,SLN,3,2,Max Muncy,Teoscar Hernandez,,,
2025/08/10,LAN202508100,TOR,LAN,8,2,Vladimir Guerrero Jr.,Addison Barger,,,
2025/09/19,LAN202509190,LAN,SFN,5,2,Shohei Ohtani,Mookie Betts,,,
2025/05/19,MIA202505190,MIA,CHN,1,2,Jesus Sanchez,Agustin Ramirez,,,
2025/09/05,MIA202509050,PHI,MIA,4,2,Brandon Marsh,Harrison Bader,,,
2025/05/03,MIL202505030,CHN,MIL,4,2,Pete Crow-Armstrong,Dansby Swanson,,,
2025/06/24,MIL202506240,MIL,PIT,4,2,Caleb Durbin,Joey Ortiz,,,
2025/07/13,MIL202507130,MIL,WAS,8,2,Jackson Chourio,Brice Turang,,,
2025/04/03,MIN202504030,HOU,MIN,2,2,Christian Walker,Jeremy Pena,,,
2025/06/08,MIN202506080,MIN,TOR,4,2,Brooks Lee,Christian Vazquez,,,
2025/06/23,MIN202506230,MIN,SEA,6,2,Trevor Larnach,Carlos Correa,,,
2025/07/08,MIN202507080,MIN,CHN,8,2,Ryan Jeffers,Willi Castro,,,
2025/07/12,MIN202507120,MIN,PIT,7,2,Byron Buxton,Willi Castro,,,
2025/07/30,MIN202507300,BOS,MIN,9,2,Romy Gonzalez,Masataka Yoshida,,,
2025/09/02,MIN202509020,CHA,MIN,7,2,Kyle Teel,Lenyn Sosa,,,
2025/03/29,NYA202503290,NYA,MIL,1,3,Paul Goldschmidt,Cody Bellinger,Aaron Judge,,
2025/03/29,NYA202503290,NYA,MIL,3,2,Aaron Judge,Jazz Chisholm Jr.,,,
2025/06/03,NYA202506030,NYA,CLE,7,2,Jazz Chisholm Jr.,Anthony Volpe,,,
2025/06/08,NYA202506080,BOS,NYA,8,2,Abraham Toro,Trevor Story,,,
2025/06/19,NYA202506190,NYA,ANA,2,2,Trent Grisham,Paul Goldschmidt,,,
2025/08/11,NYA202508110,NYA,MIN,3,2,Giancarlo Stanton,Ben Rice,,,
2025/08/27,NYA202508270,NYA,WAS,3,2,Aaron Judge,Cody Bellinger,,,
2025/09/24,NYA202509240,NYA,CHA,8,2,Trent Grisham,Aaron Judge,,,
2025/09/28,NYA202509280,BAL,NYA,4,2,Jordan Westburg,Gunnar Henderson,,,
2025/05/31,NYN202505310,NYN,COL,4,2,Brandon Nimmo,Juan Soto,,,
2025/07/02,NYN202507022,NYN,MIL,2,2,Brandon Nimmo,Francisco Lindor,,,
2025/07/02,NYN202507022,MIL,NYN,6,2,Christian Yelich,Jackson Chourio,,,
2025/07/04,NYN202507040,NYA,NYN,1,2,Jasson Dominguez,Aaron Judge,,,
2025/08/12,NYN202508120,NYN,ATL,7,2,Francisco Alvarez,Brett Baty,,,
2025/08/15,NYN202508150,NYN,SEA,4,2,Francisco Lindor,Juan Soto,,,
2025/08/29,NYN202508290,MIA,NYN,9,2,Otto Lopez,Liam Hicks,,,
2025/03/31,PHI202503310,PHI,COL,8,2,Max Kepler,Nick Castellanos,,,
2025/06/20,PHI202506200,NYN,PHI,6,2,Pete Alonso,Jeff McNeil,,,
2025/06/21,PHI202506210,NYN,PHI,3,3,Francisco Lindor,Brandon Nimmo,Juan Soto,,
2025/07/19,PHI202507190,ANA,PHI,4,2,Taylor Ward,Jo Adell,,,
2025/07/23,PHI202507230,PHI,BOS,1,2,Kyle Schwarber,Bryce Harper,,,
2025/08/04,PHI202508040,PHI,BAL,8,2,Edmundo Sosa,Weston Wilson,,,
2025/09/09,PHI202509090,PHI,NYN,2,2,Otto Kemp,Harrison Bader,,,
2025/09/24,PHI202509240,PHI,MIA,7,2,Kyle Schwarber,Alec Bohm,,,
